date,opponent,uncPoints,opponentPoints,minutes,points,rebounds,assists,turnovers
Thu 11/15,BUCKNELL,93,81,30,8,4,6,1
Tue 11/20,STANFORD,96,72,30,29,1,3,2
Fri 11/23,PORTLAND,102,78,26,18,3,2,0
Sat 11/24,ARKANSAS,87,68,34,13,2,4,0
Mon 11/26,#4 MICHIGAN STATE,45,63,33,7,2,3,3
Thu 11/29,MICHIGAN,86,71,31,17,5,4,1
Sat 12/1,DAVIDSON,85,75,32,27,0,4,1
Mon 12/3,TULANE,97,73,27,13,3,3,3
Thu 12/6,W CAROLINA,104,61,22,12,2,4,1
Mon 12/17,#20 TENNESSEE,78,73,28,21,4,2,3
Thu 12/20,WOFFORD,75,79,35,23,5,3,3
Sun 12/23,OHIO STATE,86,72,28,19,3,1,2
Sun 12/30,WAKE FOREST,73,69,35,16,6,2,3
Wed 1/3,#24 FLORIDA STATE,80,81,35,28,2,1,2
Sat 1/6,#8 UVA,49,61,34,17,8,2,2
Tue 1/9,BOSTON COLLEGE,96,66,29,13,3,3,0
Sat 1/13,NOTRE DAME,69,68,35,15,2,3,0
Tue 1/16,#20 CLEMSON,87,79,36,17,0,4,2
Sat 1/20,GEORGIA TECH,80,66,31,16,8,2,2
Mon 1/22,VIRGINIA TECH,69,80,33,23,7,2,5
Sat 1/27,NC STATE,91,95,41,6,3,4,3
Tue 1/30,#20 CLEMSON,78,82,39,27,3,4,3
Sat 2/3,PITT,96,65,29,12,6,6,0
Thu 2/8,#9 DUKE,82,78,37,21,4,6,0
Sat 2/10,NC STATE,96,89,35,16,5,0,3
Mon 2/12,NOTRE DAME,83,66,33,21,3,1,1